Group,Subject,c,p_t1,pe_t,diff_pi,diff_p,diff_pi_p,S_t1,R2,AC_t1,AC_t2,W,Method
1,1,-0.470,0.833,0.225,-0.061,-0.529,0.490,0.000,0.874,0.023,0.046,0.624,"OLS"
1,2,4.577,0.000,0.640,0.000,0.000,0.000,0.000,0.439,0.213,0.182,0.876,"OLS"
1,3,5.078,0.000,0.551,0.000,0.000,0.000,0.000,0.990,0.441,0.742,0.986,"IV"
1,4,-0.476,0.250,0.790,0.000,0.000,0.000,-0.183,0.978,0.129,0.048,0.989,"OLS"
1,5,-0.524,0.167,0.876,0.000,0.000,0.000,0.000,0.966,0.006,0.025,0.355,"OLS"
1,6,2.589,0.479,0.236,0.000,0.000,0.000,0.000,0.626,0.447,0.612,0.000,"IV"
1,7,2.760,0.749,0.000,0.149,-0.371,0.328,0.000,0.989,0.012,0.040,0.042,"OLS"
1,8,2.519,0.446,0.387,0.000,0.000,0.000,0.000,0.455,0.316,0.288,0.918,"OLS"
1,9,0.147,0.554,0.381,0.000,0.000,0.000,0.000,0.760,0.119,0.050,0.650,"OLS"
1,10,-3.808,0.785,0.562,0.033,-0.053,0.233,0.000,0.897,0.415,0.381,0.044,"OLS"
2,1,-5.296,0.376,1.199,0.000,0.000,0.000,0.000,0.639,0.422,0.306,0.927,"OLS"
2,2,2.823,0.258,0.404,0.000,0.000,0.000,-0.106,0.865,0.676,0.861,0.976,"IV"
2,3,1.041,0.912,0.000,0.000,0.000,0.000,-0.154,0.911,0.314,0.266,0.407,"OLS"
2,4,4.711,0.536,0.000,-0.068,-0.197,0.426,0.000,0.834,0.731,0.490,0.466,"OLS"
2,5,1.165,0.566,0.340,0.000,0.000,0.000,-0.160,0.851,0.138,0.333,0.602,"OLS"
2,6,0.135,0.455,0.473,0.000,0.000,0.000,0.000,0.880,0.356,0.277,0.017,"OLS"
2,7,2.218,0.807,0.000,0.000,0.000,0.000,0.000,0.641,0.136,0.216,0.560,"OLS"
2,8,0.968,0.929,0.000,0.000,0.000,0.000,-0.425,0.849,0.313,0.475,0.133,"OLS"
2,9,2.735,-0.148,1.043,0.000,0.000,0.000,0.000,0.858,0.414,0.685,0.000,"IV"
2,10,1.424,0.248,0.646,-0.075,-0.084,0.325,-0.165,0.896,0.182,0.346,0.654,"OLS"
3,1,9.382,0.000,0.000,0.000,0.000,0.000,-0.056,0.865,0.000,0.000,0.972,"OLS"
3,2,10.079,0.000,0.000,0.000,0.000,0.000,0.000,0.914,0.632,0.735,0.903,"OLS"
3,3,3.329,0.363,0.415,0.015,-0.195,0.215,0.000,0.972,0.260,0.209,0.024,"OLS"
3,4,2.167,0.268,0.449,0.000,0.000,0.000,0.000,0.728,0.297,0.119,0.000,"OLS"
3,5,-1.113,0.000,1.102,0.000,0.000,0.000,0.000,0.765,0.121,0.300,0.179,"IV"
3,6,3.392,-0.246,0.908,0.000,0.000,0.000,0.118,0.885,0.944,0.772,0.186,"IV"
3,7,9.307,0.000,0.157,0.130,0.095,0.158,0.000,0.675,0.327,0.176,0.911,"OLS"
3,8,2.472,0.000,0.697,0.000,0.000,0.000,0.000,0.486,0.601,0.850,0.469,"IV"
3,9,0.930,0.282,0.637,0.000,0.000,0.000,-0.445,0.874,0.785,0.865,0.520,"IV"
3,10,14.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.678,0.274,0.000,"OLS"
4,1,-0.245,0.514,0.510,0.000,0.000,0.000,-0.066,0.991,0.106,0.156,0.518,"IV"
4,2,1.738,0.161,0.614,0.000,0.000,0.000,0.000,0.946,0.185,0.266,0.511,"OLS"
4,3,11.584,0.000,0.000,0.000,0.000,0.000,0.000,0.597,0.004,0.010,0.547,"OLS"
4,5,1.178,0.923,0.000,0.000,0.000,0.000,-0.632,0.849,0.456,0.622,0.324,"OLS"
4,6,-0.058,0.000,0.929,0.000,0.000,0.000,0.000,0.872,0.173,0.317,0.021,"OLS"
4,7,0.915,0.000,0.858,0.000,0.000,0.000,0.000,0.857,0.377,0.665,0.423,"IV"
4,9,-0.382,0.832,0.199,0.000,0.000,0.000,-0.127,0.913,0.819,0.007,0.918,"IV"
4,10,1.095,0.910,0.000,0.000,0.000,0.000,0.000,0.792,0.666,0.837,0.395,"OLS"
