Group,Subject,c,p_t1,p_dif,pe_t1,R2,AC_t1,AC_t2,W
1,1,2.084,0.570,0.000,0.216,0.824,0.242,0.528,0.865
1,2,-0.074,0.707,0.426,0.298,0.981,0.369,0.217,0.021
1,3,0.673,1.071,-0.128,-0.133,0.987,0.007,0.026,0.984
1,4,0.058,0.794,0.000,0.195,0.981,0.029,0.025,0.006
1,5,0.521,0.947,0.000,0.000,0.940,0.021,0.067,0.775
1,6,0.216,0.905,0.502,0.083,0.986,0.059,0.170,0.656
1,7,4.980,0.565,0.000,0.000,0.286,0.042,0.069,0.001
1,8,-0.578,1.075,0.000,0.000,0.646,0.010,0.034,0.781
1,9,-0.109,1.009,0.000,0.000,0.989,0.925,0.963,0.863
1,10,-0.165,1.015,0.000,0.000,0.976,0.016,0.012,0.959
2,1,0.671,0.951,0.280,0.000,0.913,0.774,0.942,0.870
2,2,0.385,0.954,0.521,0.000,0.732,0.690,0.060,0.555
2,3,0.110,0.542,0.000,0.439,0.842,0.120,0.152,0.764
2,4,2.878,0.000,0.814,0.724,0.791,0.217,0.247,0.001
2,5,0.473,0.363,0.000,0.588,0.833,0.654,0.761,0.766
2,6,1.222,0.882,0.000,0.000,0.895,0.055,0.020,0.678
2,7,0.822,0.923,0.514,0.000,0.910,0.546,0.692,0.000
2,8,1.219,0.884,0.485,0.000,0.920,0.115,0.152,0.138
2,9,-2.041,1.159,0.720,0.000,0.738,0.193,0.380,0.891
2,10,0.696,0.939,0.000,0.000,0.852,0.028,0.047,0.766
3,1,5.561,0.548,0.000,0.000,0.492,0.515,0.007,0.001
3,2,11.295,0.000,0.429,0.000,0.620,0.218,0.324,0.000
3,3,5.790,0.506,0.000,0.000,0.617,0.915,0.660,0.049
3,4,6.202,0.485,0.186,0.000,0.807,0.327,0.378,0.004
3,5,7.037,0.400,0.188,0.000,0.791,0.047,0.268,0.042
3,6,0.906,0.897,0.000,0.000,0.852,0.007,0.014,0.496
3,7,11.846,0.000,0.000,0.000,0.487,0.410,0.211,0.663
3,8,8.578,0.463,0.000,-0.226,0.553,0.439,0.717,0.026
3,9,1.961,0.821,0.112,0.000,0.908,0.029,0.091,0.476
3,10,3.628,0.656,0.000,0.000,0.362,0.326,0.215,0.027
4,1,-0.000,0.682,0.902,0.318,0.963,0.073,0.042,0.102
4,2,-0.844,1.076,0.000,0.000,0.985,0.087,0.215,0.017
4,3,-0.423,0.345,0.449,0.692,0.978,0.361,0.204,0.077
4,5,-0.595,1.054,0.000,0.000,0.945,0.094,0.255,0.163
4,6,0.402,0.967,0.000,0.000,0.928,0.740,0.600,0.453
4,7,0.015,1.002,0.000,0.000,0.873,0.057,0.099,0.021
4,9,-0.584,0.817,0.000,0.238,0.975,0.600,0.859,0.167
4,10,-0.416,1.038,0.450,0.000,0.983,0.522,0.357,0.242
